Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.....5....2.9...74.14...5.2.8.7...9..6...82...9.1...8..43...8.1.7.8...63.....6...,27,54,0,0,0,0,0,0,0,Simple,
.1....62.3..4....56..271.....39.271...2...8...687.45.....358..48....7..1.56....7.,32,49,0,0,0,0,0,0,0,Simple,
.59..27...3..7..522.4...9.39...1.....6.827.1.....4...73.8...1.664..9..2...13..49.,33,48,0,0,0,0,0,0,0,Simple,
....5......7...4..1.98.26.3..2...8.....493.....36.81...6.2.4.1.32.1.5.47.........,28,53,0,0,0,0,0,0,0,Simple,
9........25..3.91...38..5.4.9.21.74......6....1.98.65...51..4.664..5.23.1........,31,50,0,0,0,0,0,0,0,Simple,
...3.6...5..8...4.......7.6.29....54..74.21..68....23.4.3.......7...9..2...7.3...,26,55,0,0,0,0,0,0,0,Simple,
.2.8...4.6.41....3..946.71.....4.598..59.64..493.8.....47.389..9....41.2.5...9.8.,36,45,0,0,0,0,0,0,0,Simple,
....6....2..4.1..69.83.54.14.......71.......3539...814...6.4.......5....34..1..95,29,52,0,0,0,0,0,0,0,Simple,
.5.4.7....6.23.594.4.56....2.....651.81...94.634.....8....52.3.426.79.1....1.4.2.,36,45,0,0,0,0,0,0,0,Simple,
.....1....7584.61..94..235.8.7....3..1.....4..3....9.7.461..57..83.5649....4.....,32,49,0,0,0,0,0,0,0,Simple,
..75..1......23...5...76..9.82.....5.39...48.6.....21.9..38...1...45......4..23..,28,53,0,0,0,0,0,0,0,Simple,
97...85.4....9...23..2.7...2.76.91...9..1..5...87.54.9...4.2..54...7....8.95...46,33,48,0,0,0,0,0,0,0,Simple,
7..35..6863.8...1...1..23....9.7..533..1.8..228..3.6....84..7...1...3.2547..29..6,36,45,0,0,0,0,0,0,0,Simple,
9.....5.6..5..71..64..1..7..9..8......41357......2..6..2..7..14..63..9..8.7.....5,29,52,0,0,0,0,0,0,0,Simple,
98..5..4676..4.523.5..........271...82.5.3.67...486..........7.275.3..1439..1..52,36,45,0,0,0,0,0,0,0,Simple,
.83....1..4..7...259.14..68...8.2.......5.9.....7.9...67.39..24.3..8...5.24....9.,30,51,0,0,0,0,0,0,0,Simple,
..38.29..4.......7..7...8....54.76...3..1..4.8..3.5..2....6.....4.2.9.1...1.5.3..,27,54,0,0,0,0,0,0,0,Simple,
87..36..5...178..6...9.....72....96.51.....48.98....53.....9...4..251...9..86..14,32,49,0,0,0,0,0,0,0,Simple,
.357.4....4...9.38..8..14.7316.....4....9....7.....6854.21..3..65.3...7....9.614.,33,48,0,0,0,0,0,0,0,Simple,
2.8.9..73....7.6.4......8...3..82.161..9.3....5..67.42......7......5.2.17.5.1..69,31,50,0,0,0,0,0,0,0,Simple,
..4.3.5...95.42.3.3....5.81.29......41.....65......21.75.3....8.3.65.94...1.7.6..,32,49,0,0,0,0,0,0,0,Simple,
.9.....7.45...9183.3.4.5....295678.....8.2.....839425....2.3.4.2837...69.1.....2.,36,45,0,0,0,0,0,0,0,Simple,
3..9....4.79..6.5...18.596..82...1.7....5....7.3...49..457.83...9.5..74.6....4..2,33,48,0,0,0,0,0,0,0,Simple,
..1..5.3.89.3..54..5..92..74.3.6..2...62.34...2..4.7.32..63..7..47..8.16.3.7..9..,36,45,0,0,0,0,0,0,0,Simple,
.19....5.8..2....7....37..6..75.4.3...4.2.9...9.6.82..4..98....9....3..1.3....78.,29,52,0,0,0,0,0,0,0,Simple,
..........72..459..193.274..972.16.............38.925..245.738..586..12..........,32,49,0,0,0,0,0,0,0,Simple,
...238....73...64..............7.....9.8.2.3.3.74958.272.....65..........163.948.,29,52,0,0,0,0,0,0,0,Simple,
.7..4..6....6.5...2..7.9..86.8.2.7.3.1.....5.7..8.6..4.8..1..4...43.89......6....,28,53,0,0,0,0,0,0,0,Simple,
1.7....598..4..1...592..4.3....6.72....5.7....76.3....7.4..286...1..6..236....9.7,32,49,0,0,0,0,0,0,0,Simple,
.3...2..8..2.64.5..79....4..4...81..3.......4.6...15...94....6...6.39.8..8...5..2,28,53,0,0,0,0,0,0,0,Simple,
32.....94.81...57..........9.35.64.7...1.8.....67392...7..8..6.1...6...846.....12,31,50,0,0,0,0,0,0,0,Simple,
..219.46.3..4..1..41......7....1..858..7.5..415..6....7......36..3..9..1.61.438..,32,49,0,0,0,0,0,0,0,Simple,
.1.4.5..96.512....27.......7.....49...1.7....8.....53.58.......9.265.....3.7.4..8,28,53,0,0,0,0,0,0,0,Simple,
........9..432..7.38.9....1..6..87.4.4....5....8..19.279.6....5..583..6.........3,28,53,0,0,0,0,0,0,0,Simple,
537.92..4........9...453..89.8.3.1..2.35.94.6..4.1.5.34..385...7........3..72.841,36,45,0,0,0,0,0,0,0,Simple,
...1.7.3.63..5247..5..4....26.7.5..4.74...38.8..4.6.52....1..2..1529..47.8.6.4...,36,45,0,0,0,0,0,0,0,Simple,
......7.3..6..518...21...6.3.9.....16...49...8.5.....2..89...3...7..641.......5.9,27,54,0,0,0,0,0,0,0,Simple,
.2..7.....5..23.19..8.917...13......486...951......38...481.5..73.26..4.....5..9.,32,49,0,0,0,0,0,0,0,Simple,
..3.9842.5..4.....7...6...86..1.9.8.8.1...2.3.7.3.6..13...7...5.....3..2.1784.6..,32,49,0,0,0,0,0,0,0,Simple,
6....7..9.1.8...5...25..4..9..7.524...........431.2..7..5..93...6...4.8.8..6....4,28,53,0,0,0,0,0,0,0,Simple,
59.6..4.1.8.....636..42.......3719.4..59.62..4.9582.......14..995.....4.1.3..5.72,36,45,0,0,0,0,0,0,0,Simple,
.8...24......8...79.24.15..4.9...6...6..1..2...7...9.5..42.71.82...3......69...4.,29,52,0,0,0,0,0,0,0,Simple,
......98.3...284..849..12...38.1.....7.8.4.2.....6.15...56..794..679...1.93......,32,49,0,0,0,0,0,0,0,Simple,
92...38....852..16.6............62.4.........8.23............6.27..354....41...58,26,55,0,0,0,0,0,0,0,Simple,
.3...456.6...1.3.225..9....4..9.8....83...41....1.3..5....2..869.4.8...3.726...5.,32,49,0,0,0,0,0,0,0,Simple,
...63......3..29...621..43..4.5.31.27.......33.64.8.5..94..728...58..3......24...,32,49,0,0,0,0,0,0,0,Simple,
7...3...55.4.7.9.2..31.54...9.....2..2.....8.3.8...5.4.5.....7.9..5.8..1...967...,29,52,0,0,0,0,0,0,0,Simple,
..431.....67..8.1.....45.37.534.9..18.1...3.29..1.285.43.29.....1.8..24.....541..,36,45,0,0,0,0,0,0,0,Simple,
.8.7..6...4..65.98......5....49..2....9.26.5...35..9........7...2..37.46.3.4..8..,28,53,0,0,0,0,0,0,0,Simple,
7...3..9581.2...4.....75.....98.6.1.4.6...7.9.5.9.78.....68.....6...2.3124..1...6,32,49,0,0,0,0,0,0,0,Simple,
84..2..35..9.5.8..2.......9.85...19..........7.43.95.26.7...4.3...........27.49..,28,53,0,0,0,0,0,0,0,Simple,
2.3...5.8..7.3..1..84..6.......2.3..765..3.......8.7...29..1.....6.9..3.1.8...2.9,28,53,0,0,0,0,0,0,0,Simple,
9...5.......27963......847...98..3...84.9..1...35..7.......425....78214.6...3....,30,51,0,0,0,0,0,0,0,Simple,
.783..5...1....34853......9...863..4...1.9...6..752...3......87125....3...9..621.,32,49,0,0,0,0,0,0,0,Simple,
3...76..9..83.14...6.....1.65.293.8.7..5.4..3.3.768.51.2.....4...68.91..8..12...6,36,45,0,0,0,0,0,0,0,Simple,
.3.82..5.5.8.9...2.....4.3...56.9..389.....263..2.59...5.1.....9...5.2.4.2..78.6.,32,49,0,0,0,0,0,0,0,Simple,
..8.......457..91..9...2.83..9834.7....5.1....3.6792..91.3...5..62..513.......6..,32,49,0,0,0,0,0,0,0,Simple,
6.......82.....4.73.54..69....3.79...3..19......8.41..5.26..31.4.....2.61.......4,29,52,0,0,0,0,0,0,0,Simple,
4...3.5128..1.....3.29..8......1.79.9..2.7..3.63.8......7..39.4.....1..8539.7...1,32,49,0,0,0,0,0,0,0,Simple,
..57......9.61.3....8..4.76......6..5..23...9......8....6..5.27.7.89.5....43.....,26,55,0,0,0,0,0,0,0,Simple,
.....4...38.2..6..6.1..58.7.7..9.......4.3.5..3..5....7.3..91.816.7..2.......2...,27,54,0,0,0,0,0,0,0,Simple,
1.5..9.488.3.2........1..729..3.7....64...83....9.6..163..9........3.4.724.7..1.3,32,49,0,0,0,0,0,0,0,Simple,
..6.....7...1..8.5....36.21..2....7..7.648.3..8....9..32.48....1.5..9...8.....1..,27,54,0,0,0,0,0,0,0,Simple,
8.63....7.2.5.841..9..7...8.7.....46..8.4.2..43.....5.3...2..8..876.3.9.5....76.2,33,48,0,0,0,0,0,0,0,Simple,
.6..37.2.8.9.4.3.7.2...9.8.4.5......93.....76......5.3.5.1...3.3.6.7.1.2.4.32..9.,32,49,0,0,0,0,0,0,0,Simple,
.5.....2.1.......38.2...4.5.6..9..4..1.234.9..........4.53891.6..7...2....1.6.3..,28,53,0,0,0,0,0,0,0,Simple,
....6.5..9.....132.52...4..3..7..8..8..249..7..9..1..4..3...71.298.....3..7.3....,29,52,0,0,0,0,0,0,0,Simple,
.7.6.1....2.98..14...4.....8.....346.3.....7.691.....5.....6...31..59.6....8.7.9.,28,53,0,0,0,0,0,0,0,Simple,
3.....215694....7.1.2..749...67.4.......9.......6.31...632..9.1.1....527529.....4,33,48,0,0,0,0,0,0,0,Simple,
..7.........79..46...21.9.787..4..5...9...1...5..6..237.8.53...19..72.........4..,28,53,0,0,0,0,0,0,0,Simple,
4..9.5..62.......8.56...49..9824367...3...5.....5.6...6.4...1.3..14.82...........,29,52,0,0,0,0,0,0,0,Simple,
..5.9...8.......42.2..345.7....493.....8.7.....815....5.941..7.67.......2...7.4..,28,53,0,0,0,0,0,0,0,Simple,
..2..456.49..3.28.86.1....45.....1...7.....2...3.....96....1.92.27.5..16.492..8..,32,49,0,0,0,0,0,0,0,Simple,
1.2.....3.982...5......8.16..4.5..3....1.2....1..9.4..78.4......5...914.6.....8.5,28,53,0,0,0,0,0,0,0,Simple,
....54....7..1.84..25.786..6.7......251...986......7.3..356.19..96.4..2....79....,32,49,0,0,0,0,0,0,0,Simple,
56...9.7...9...31..87.....5..86.7...2.....43...42.5....92.....6..3...94.64...8.2.,29,52,0,0,0,0,0,0,0,Simple,
...389.....36..2...5...4.6.9.2....768...7...334....1.8.7.9...4...4..59.....428...,29,52,0,0,0,0,0,0,0,Simple,
..936.....73......6.89..3279.517......7...2......425.9762..51.3......94.....317..,32,49,0,0,0,0,0,0,0,Simple,
..4..5....7.12.85..28.3.1.61......3..39.5.28..5......98.7.1.36..61.79.4....2..9..,33,48,0,0,0,0,0,0,0,Simple,
....5.....574.821...4...6..2.19.37.5..........9..1..4.....9....8.5...3.93...8...6,26,55,0,0,0,0,0,0,0,Simple,
18.3..7.4..4.2...33...8..9....4.3..9.95...31.2..9.8....4..3...78...4.6..7.1..6.25,32,49,0,0,0,0,0,0,0,Simple,
..19...7.65.....4...21.85.6..6.7.1.4...6.2...5.8.9.6..2.78.49...4.....12.9...54..,32,49,0,0,0,0,0,0,0,Simple,
8.1..4....5.8.79.1.4....5..2...78.....7.1.8.....62...3..9....6.5.81.6.3....9..2.4,29,52,0,0,0,0,0,0,0,Simple,
....7..5.9.....2.881...24...23.6..87....2....78..9.62...27...464.9.....3.6..3....,29,52,0,0,0,0,0,0,0,Simple,
6.19...2.8...6.1..3.241..6.2..14.39....8.....1..23.45.5.362..8.4...7.6..7.63...4.,35,46,0,0,0,0,0,0,0,Simple,
138...5.4..9..8..22.4..3869.276.4...............2.194.6428..7.58..7..4..5.1...698,36,45,0,0,0,0,0,0,0,Simple,
7..3.1..684..9..23...................3..2..6.2.7.4.3.9...418...3.1...4.7..65.78..,28,53,0,0,0,0,0,0,0,Simple,
.3..9..2..1.3.2.7..927.685...8...5.....4.5.....48.91..5.......6...928...2.......9,28,53,0,0,0,0,0,0,0,Simple,
.6..5..3..9.7.1.5....2.4............9.8...4.3.24...67.3.......25...4...1..7.8.9..,25,56,0,0,0,0,0,0,0,Simple,
..76......9.75.13.64.9......6.3..5..7.3...8.9..5..7.2......3.18.26.95.4......62..,30,51,0,0,0,0,0,0,0,Simple,
1.73..6.2..8..1...6..78..19.4.5.31.8..3.7.2..5.14.6.7.87..64..1...8..7..4.5..78.6,37,44,0,0,0,0,0,0,0,Simple,
.......8414.....3.8.9...2....1.36..86..84..5...7.25..69.8...5..71.....9........13,28,53,0,0,0,0,0,0,0,Simple,
6....3..7....2.9...1984.3..9..2.45...21...86...76.5..3..5.3742...3.6....2..1....9,32,49,0,0,0,0,0,0,0,Simple,
...189.............59...87..7.....8.8.2.7.4.59.58.63.7...361...26.....34...5.4...,29,52,0,0,0,0,0,0,0,Simple,
5..83.4.6...2.5...7.9...3...7.4.6.896.......789.1.7.5...8...7.4...5.2...4.1.68..2,32,49,0,0,0,0,0,0,0,Simple,
.64...23.5.......197.....86.31...56.....6.....5.134.2..........31.5.8.49..89.36..,30,51,0,0,0,0,0,0,0,Simple,
.9.32.71.2....8..93.6..74...42.....19.......31.....69...35..9.66..8....2.57.62.3.,32,49,0,0,0,0,0,0,0,Simple,
5..6..3.8.....12..362.8.9...2.816..9..72.58..1..749.2...6.2.183..39.....8.4..3..2,36,45,0,0,0,0,0,0,0,Simple,
23.74.5.1..1.53..86......9..2......635..9..728......3..6......31..57.9..9.4.21.85,33,48,0,0,0,0,0,0,0,Simple,
7123.....5.6..21..9....5.......1.7.6..8...4..1.7.3.......6....3..19..5.7.....4291,28,53,0,0,0,0,0,0,0,Simple,
1...2...6.......9..4.6...12.27..9..38..7.....3..25.6.9....1..6....56..........8.4,25,56,0,0,0,0,0,0,0,Simple,
..4.6.....91..8.4.5....41.....4.765.1..9..2.....5.391.9....58...57..1.6...2.7....,29,52,0,0,0,0,0,0,0,Simple,
.54..8.....9.5.1.3.8.17..249.....4...76...83...8.....934..92.1.5.2.1.9.....5..37.,32,49,0,0,0,0,0,0,0,Simple,
..1.5..9.84..29.5......8..3.96......53..6..49......58.3..2......2.84..15.1..9.7..,29,52,0,0,0,0,0,0,0,Simple,
.72...81..........38.....96..41.32...5.....4...7...6.....2.9...8.1.5.7.4..6...5..,25,56,0,0,0,0,0,0,0,Simple,
.85..23...7...691561......885.4.1.......3.......2.8.415......699486...5...61..28.,33,48,0,0,0,0,0,0,0,Simple,
1762....8....95..2.....8..3.987.4..5.6.....8.4..5.126.6..9.....7..81....8....7596,32,49,0,0,0,0,0,0,0,Simple,
...........426.8...17..369...94.7.6..7..1..8..2.6.87...361..92...2.954...........,29,52,0,0,0,0,0,0,0,Simple,
.2..5.......342..1..8..13...546.8.1.21.....83.3.2.975...19..2..6..523.......8..4.,32,49,0,0,0,0,0,0,0,Simple,
4...7.2.1..28.....9...52.6...93.7.5.5.4...9.7.3.5.48...9.76...5.....53..3.5.8...2,32,49,0,0,0,0,0,0,0,Simple,
49...1..5..2...4.9.1.49..7.3..8.67....1...3....89.2..1.7..68.4.9.4...1..6..1...37,32,49,0,0,0,0,0,0,0,Simple,
...4.1....8..7..2.2..6.9..78.......29..8.6..37...4...8.6.1.8.4...........9.354.7.,27,54,0,0,0,0,0,0,0,Simple,
9...4...7.2..9.31..387..4.....1.69..26.....35..39.5.....6..182..42.5..7.3...6...1,32,49,0,0,0,0,0,0,0,Simple,
7......6..81...3....6...259...7.6.35...143...67.5.9...839...5....5...84..1......3,29,52,0,0,0,0,0,0,0,Simple,
.4...26.....74.....9..5.3....3.17.268.....4.3..9.23.51.8..7.5.....69.....1...52..,29,52,0,0,0,0,0,0,0,Simple,
.5..........8..2.4.32.16.8..13.....758.1.4.232.....94..7.38.46.3.5..2..........3.,30,51,0,0,0,0,0,0,0,Simple,
6..158..34.......1..9...2......3.......2.5....35...72..4.923.7..81.7.69...2...5..,28,53,0,0,0,0,0,0,0,Simple,
...7142...17.....5.8.3......2418.........5..9.9567.....7.5......42.....1...8216..,28,53,0,0,0,0,0,0,0,Simple,
3.28...1678.95..3.........8...438.75.2.5.9.4.54.172...1.........7..95.8165...13.4,36,45,0,0,0,0,0,0,0,Simple,
..3.7261.7.15.....4...1..525......2.2.6.9.5.7.9......413..8...6.....42.1.8462.3..,33,48,0,0,0,0,0,0,0,Simple,
29...8..5.6...9.18..8..52..1563.7.......4.......9.6571..28..4..57.6...8.3..7...56,33,48,0,0,0,0,0,0,0,Simple,
92...7..5.7.56..98...4.2...8.5...74..4.....6..97...8.1...3.1...45..28.1.7..6...89,32,49,0,0,0,0,0,0,0,Simple,
9.7.....2.4.36.51..3..8...4....2..6..527.134..1..4....3...7..8..24.19.5.5.....9.6,32,49,0,0,0,0,0,0,0,Simple,
7.69.4.188...65......7....419....6.5.8.....4.5.4....839....2......65...263.1.94.7,32,49,0,0,0,0,0,0,0,Simple,
31.9.5..7...6.2..3..9.3.6..54.3.1.98..2...4..98.2.4.61..8.2.1..7..4.6...6..7.3.42,36,45,0,0,0,0,0,0,0,Simple,
..6.7.2..2.1...4.58...3...66.8...5.2.9.682.7...7.1.9.....956..............5...1..,27,54,0,0,0,0,0,0,0,Simple,
.9.2...8.7.2.4.9.3.8..5..1....3.6..1.51...79.6..9.5....1..2..4.5.8.9.3.2.3...8.7.,32,49,0,0,0,0,0,0,0,Simple,
7.15.49.2...9.1...6...2...519.6.5.24..3...8...7.....5...........8.2.9.6.2.6.8.4.3,30,51,0,0,0,0,0,0,0,Simple,
.1....78.4....12.35893..6...2.7.91.............61.5.7...2..73687.85....1.31....5.,32,49,0,0,0,0,0,0,0,Simple,
..1..3.4..4...2.7.2..6..91..97......32..49..7.16......7..8..45..6...1.3...5..7.2.,29,52,0,0,0,0,0,0,0,Simple,
.2...783.3.7.8...26...39.7.4.3.......91...75.......9.3.5.41...91...2.5.4.469...8.,32,49,0,0,0,0,0,0,0,Simple,
..31..94.8...3....6.9.7.3.1....4...5.987.261.4...9....9.4.6.1.2....1...3.62..37..,32,49,0,0,0,0,0,0,0,Simple,
45..8.9...972....66..497...3....1...5...2...8...5....1...962..37....581...5.1..69,31,50,0,0,0,0,0,0,0,Simple,
.5.8.721.3.6.1...47...4..6.8.......7.73...64.4.......5.1..2...82...8.9.6.486.3.2.,32,49,0,0,0,0,0,0,0,Simple,
...9...6798.....5..5..629..4...9.....15...42.3...8.....3..791..12.....9....5...43,28,53,0,0,0,0,0,0,0,Simple,
....8......7..195.13...9....6182....82.....63.7564....21...4.....3..651.....9....,28,53,0,0,0,0,0,0,0,Simple,
6.47..8353..64....1....5..6..83.1.79.4.....1.73.4.86..9..1....3....83..7813..62.4,36,45,0,0,0,0,0,0,0,Simple,
8..53.4177..9.....4.2..78....7....451.......992....6....97..3.4.....9..1284.53..6,32,49,0,0,0,0,0,0,0,Simple,
.36..49.......8..11.4..97.3729..........1..........3953.14..5.69..2.......23..81.,29,52,0,0,0,0,0,0,0,Simple,
8.......9..2.6.7............6.197.3.7..3.6..8...2.5....85.2.41..2.974.5...6.5.3..,29,52,0,0,0,0,0,0,0,Simple,
.3.278.....8.539.4.6.....3.24......169..2..788......63.5.....8.3.659.7.....834.1.,33,48,0,0,0,0,0,0,0,Simple,
.7.42.1....9.....88...39.2...3.7...44.52.17.37...9.2...3.85...19.....5....4.17.3.,32,49,0,0,0,0,0,0,0,Simple,
8.9.....1.12.6..7...7..1342..5.8.....7.215.9.....7.2..1837..6...2..5.71.7.....9.4,33,48,0,0,0,0,0,0,0,Simple,
.81....7.4.71..986...67.....3..9.6...9.....3...2.3..4.....21...819..42.3.4....19.,30,51,0,0,0,0,0,0,0,Simple,
..9.34....7..58.4...4..93.7467......93.....62......7133.24..1...9.58..3....26.5..,32,49,0,0,0,0,0,0,0,Simple,
........136.2.1..7....9..6..584...2.63.7.2.98.1...934..9..2....7..1.5.398........,30,51,0,0,0,0,0,0,0,Simple,
...9..4...791.625.12.....7..5.7.3.41....9....91.4.8.2..8.....37.912.586...5..7...,33,48,0,0,0,0,0,0,0,Simple,
.4.7..35.9.75....15..1...9.....3.275...947...716.5.....7...6..43....25.7.28..5.3.,33,48,0,0,0,0,0,0,0,Simple,
4..76....51..9.3.6.9...1.........9.88...1...51.5.........1...2.6.8.4..39....83..4,27,54,0,0,0,0,0,0,0,Simple,
..4..17.8.9....1...7.....596...8...5.15..9...2...1...4.4.....97.6....2....3..24.1,27,54,0,0,0,0,0,0,0,Simple,
.69...2....8.6..493...4......46..5.....4..132..28..4..1...8......3.1..78.56...3..,28,53,0,0,0,0,0,0,0,Simple,
.9.78.36.3..9....26.7...8.....5.6.372.......575.2.4.....8...7.69....8..4.42.71.8.,32,49,0,0,0,0,0,0,0,Simple,
.123.........87..5..7.194.3.81.....6.64...57.2.....19.1.572.8..7..59.........495.,32,49,0,0,0,0,0,0,0,Simple,
.27.3.6.....76...35..2.8..7..4...37.93.....48.86...9..1..6.7..26...14.....9.5.76.,32,49,0,0,0,0,0,0,0,Simple,
.158..27.2.81....56......81...9.8.23.........86.5.1...73......21....53.4.29..471.,32,49,0,0,0,0,0,0,0,Simple,
.53.8......71.3..8..65..143.2....38.8.......1.41....2.764..19..5..2.97......5.81.,32,49,0,0,0,0,0,0,0,Simple,
.9.1.7.3..5..6..9...3.9.7..1.......7.8.7.3.4....218.....26.41......3....4.......3,26,55,0,0,0,0,0,0,0,Simple,
.5.....1.9.7...4.8.48...27.5.......2.8.4.1.5..2.....8.....6....4..5.7..176..1..39,28,53,0,0,0,0,0,0,0,Simple,
.1..4.....6.9.7.51..86..2...9.3.157.3.......6.475.8.9...5..91..98.1.6.2.....5..6.,32,49,0,0,0,0,0,0,0,Simple,
6.2...5843...7.9..19.5....6....3.7...2.1.8.9...8.6....5....4.63..6.2...9249...8.7,32,49,0,0,0,0,0,0,0,Simple,
7.....6...69....17.4.6..5.....1..89..145.873..98..3.....1..5.2.48....35...6.....4,30,51,0,0,0,0,0,0,0,Simple,
.........1.9...2.65.62.89.74.39721.5.5.143.2..........6..8.5..282.4.7.61.........,32,49,0,0,0,0,0,0,0,Simple,
6..3...7...1.7....7...91.....4...63.526...194..9...75.9...16.....5.8....1..7...2.,28,53,0,0,0,0,0,0,0,Simple,
7....9..1.5621..8....5...7.8..3.619..3..5..2..198.2..3.9...3....6..9543.1..4....9,33,48,0,0,0,0,0,0,0,Simple,
.1..25.3.7.9..1..2...3.9.6.287...4..3.......7..1...583.7.8.4...9..2..1.8.4.96..7.,32,49,0,0,0,0,0,0,0,Simple,
1..524..6.3.....7..59...42.8...6...4.........916...752..5.9.1...8.243.9..........,28,53,0,0,0,0,0,0,0,Simple,
6.843...9...1.9.......2...1.8.3.6.955.7...6.892.8.5.4.8...9.......2.1...4...537.2,32,49,0,0,0,0,0,0,0,Simple,
...6..23.95.....6.3.25..9......3.5.4...196...7.9.5......3..24.7.1.....83.45..3...,29,52,0,0,0,0,0,0,0,Simple,
4..6....9..79528...9.4...5..4....276.7.....8.823....1..3...4.9...43985..1....6..7,32,49,0,0,0,0,0,0,0,Simple,
8..3.7..1.........3..941..7..2...9...38...75....794......5.9.....62.31..7...8...3,27,54,0,0,0,0,0,0,0,Simple,
431.....7.82....45....4..31...765.....53.47.....281...59..2....32....51.8.....624,32,49,0,0,0,0,0,0,0,Simple,
....1......1.2.4.....6.7.....8.6.5..5.7...8.3....4....7.95.12.41.......9.54...37.,26,55,0,0,0,0,0,0,0,Simple,
92..8..655...9...1...7.5...15.....8487.....26.........2.1.3.4.7.4.....1..3.4.2.5.,29,52,0,0,0,0,0,0,0,Simple,
4....726126.13..5.1...9....3......9..46...71..5......4....6...8.9..71.266249....7,32,49,0,0,0,0,0,0,0,Simple,
.4.....5..723.468............1.4.5...........98.2.1.7465.7.8.4272..9..61.........,28,53,0,0,0,0,0,0,0,Simple,
....7369.1....8....5.49..2.62......4..3......84......9.6.14..7.3....2.......6521.,27,54,0,0,0,0,0,0,0,Simple,
8.942..1......8...47.9.1.....2..5....86.1.45....8..2.....1.3.92...6......5..823.4,29,52,0,0,0,0,0,0,0,Simple,
5.12...749...1.........6..3..2168..7.7.3.9.5.4..5728..8..7.........9...814...57.9,32,49,0,0,0,0,0,0,0,Simple,
..8..1.2.13..6..7...245.6.15.....7...47...26...1.....58.3.974...9..8..32.5.1..8..,32,49,0,0,0,0,0,0,0,Simple,
..9.63..461.5..7.....8...3...1938...5.2..7.....7425......7...4.74.1..9....8.42..7,31,50,0,0,0,0,0,0,0,Simple,
...43.6..3.9....8.87...2.5..5....8.......7.3..4....9..53...1.9.1.7....6....78.2..,26,55,0,0,0,0,0,0,0,Simple,
